algorithm,pollution_type,fitness_tbr,precision_tbr,generalization_tbr,percentage,f1-score
None,None,1.0,0.3865922797773559,0.8289088704041992,,0.557614931823262
IM_0.0,None,1.0,0.41026910330981947,0.8824713810137513,,0.581830946089568
IM_0.0,"['DelayedEventLoggingPolluter', 'InsertDuplicateActivityPolluter', 'ImpreciseActivityPolluter']",1.0,0.2029095031173248,0.9197099873808869,"[1, 0.2, None]",0.33736453588817344
IM_0.2,None,0.9988525555115313,0.41026910330981947,0.8842139714934686,,0.5816365673226688
IM_0.2,"['DelayedEventLoggingPolluter', 'InsertDuplicateActivityPolluter', 'ImpreciseActivityPolluter']",0.9815502163768237,0.21327096830423287,0.9417112884482502,"[1, 0.2, None]",0.350405847786829
IM_0.4,None,0.9509869085816987,0.411818782498779,0.9069457732356199,,0.5747470434378537
IM_0.4,"['DelayedEventLoggingPolluter', 'InsertDuplicateActivityPolluter', 'ImpreciseActivityPolluter']",0.9796388951471474,0.21351378795131792,0.9432806502164492,"[1, 0.2, None]",0.3506113078237949
ALPHA,None,0.4100338691531675,0.34886042255864247,0.9021495442220508,,0.37698159129242814
ALPHA,"['DelayedEventLoggingPolluter', 'InsertDuplicateActivityPolluter', 'ImpreciseActivityPolluter']",0.1318147678021287,0.5,0.9628942382232202,"[1, 0.2, None]",0.20862881736789407
ILP_1.0,None,1.0,0.1918960438779138,0.9088341595226873,,0.3220013102041469
ILP_1.0,"['DelayedEventLoggingPolluter', 'InsertDuplicateActivityPolluter', 'ImpreciseActivityPolluter']",1.0,0.17047059359482486,0.96266238154167,"[1, 0.2, None]",0.2912855641614448
ILP_0.8,None,0.95455018933447,0.27153887197514204,0.908725067233038,,0.42280367688573267
ILP_0.8,"['DelayedEventLoggingPolluter', 'InsertDuplicateActivityPolluter', 'ImpreciseActivityPolluter']",1.0,0.17129060179490685,0.9626527108107533,"[1, 0.2, None]",0.29248181712107657
ILP_0.6,None,0.9300748613485765,0.5367876122411581,0.9087505944109506,,0.6807082095529348
ILP_0.6,"['DelayedEventLoggingPolluter', 'InsertDuplicateActivityPolluter', 'ImpreciseActivityPolluter']",1.0,0.17060726162817186,0.9626448897636956,"[1, 0.2, None]",0.2914850560398506
